Globasa	Eng with Senses	German	Dutch	Old English (ca. 450-1100)	Ancient Greek (to 1453)	Latin	French	Italian	Russian	Yiddish	Hebrew	Arabic	Mandarin Chinese	Japanese	Turkish	Tatar
kam	or [conjunction]	oder, oder	of	oþþe	ἤ	sīve, seu, -ve, aut, vel	ou	o, oppure, od	а́ли, и́ли, ли́бо, чи	אָדער	אוֹ	إما, ولا, ولا, ولا, أَو, إِمَّا, أَو, أَم, ولا, أَو, أَو, أولا		か, 又は, あるいは, または, それとも	ya da, veya	яисә, яки, я
kama																
kameleon	chameleon [reptile]	Chamäleon <n>	kameleon <m>/<n>		χαμαιλέων <m>		caméléon <m>	camaleonte <m>	хамелео́н <m>		זיקית <f>, זִקִּית	حِرْبَاء <m>	避役, 變色蜥蜴 /变色蜥蜴, 變色龍 /变色龙	カメレオン	bukalemun	хамелеон
kamer	room [division in a building], chamber [room or set of rooms]	Gemach <n>, Kammer, Raum <m>, Zimmer <n>	kamer <f>, vertrek <n>, zaal <m>, ruimte <f>		θάλαμος <m>	camera <f>, aedicula <f>, cella <f>, camera <f>, aedes <f>, conclave <n>, membrum <n>, aedis <f>, zotheca <f>, aula <f>	chambre <f>, pièce <f>, salle <f>	sala <f>, camera <f>, stanza <f>	ко́мната <f>, пала́та <f>, поко́й <m>, ко́мната <f>, но́мер <m>, ка́мера <f>	צימער <m>	חֶדֶר	قَمْرَة <f>, حُجْرَة <f>, غُرْفَة <f>, قَمَرَة <f>, صَالَة <f>, بَيْت <m>	屋子, 房間 /房间	部屋, 間	oda	бүлмә
Kamerun	Cameroon [country in Central Africa]	Kamerun	Kameroen <n>				Cameroun <m>	Camerun <m>	Камеру́н <m>		קִמְרוֹן	الْكَمِيرُون <f>, الْكَامِيرُون <f>	喀麥隆 /喀麦隆	カメルーン	Kamerun	
Kamerunli	Cameroonian [pertaining to Cameroon]	kamerunisch	Kameroens					camerunense	камеру́нский							
Kamerunyen																
kamisa	shirt [article of clothing]	Hemd <n>	shirt, overhemd <n>, hemd <n>	hemeþe <n>		camisia <f>, tunicula <f>	chemise <f>	camicia <f>, maglia <f>	руба́шка <f>, соро́чка <f>	העמד <n>	חולצה \ חֻלְצָה <f>	قَمِيص <m>	襯衣 /衬衣, 襯衫 /衬衫	ワイシャツ, シャツ	pirahen, gömlek	күлмәк
kamomil																
kampani																
kampaniismo																
kampaniista																
kampi	camp [to live in a tent]	; zelten	; kamperen			; vivo in castrum	; camper	; campeggiare	; жить в пала́тке		; חָנָה			; キャンプする		
kampiatex	campfire [fire at a campground]	Lagerfeuer <n>	kampvuur <n>				feu de camp <m>		костёр <m>			نَار مُخَيَّم	營火 /营火	キャンプファイヤー	kamp ateşi	
kampidom	camp [outdoor place]	Lager <n>	kamp <n>			castra <n>	camp <m>	campo <m>, accampamento <m>	стан <m>, ла́герь <m>, та́бор <m>	לאַגער <m>	מַחֲנֶה <m>	مُخَيِّم <m>	安營 /安营, 露營 /露营, 營 /营	キャンプ, 収容所, 幕営	kamp	
Kampuci	Cambodia [country in Southeast Asia]	Kambodscha <n>	Cambodja <n>				Cambodge <m>	Cambogia <f>	Камбо́джа <f>, Кампу́чи́я <f>	קאַמבאָדזשע	קַמְבּוֹדְיָה <f>	كَامْبُودِيَا <f>, كَمْبُودِيَا <f>	柬埔寨, 高棉	カンボディア, カンボジア	Kamboçya	Камбоҗа
Kampucili 	Cambodian [of, from, or pertaining to Cambodia, the Cambodian people, or the Khmer language]	kambodschanisch	Cambodjaans				cambodgien	cambogiano	камбоджи́йский, кхме́рский				柬埔寨的	カンボジアの, カンボディアの		
Kampucisa	Khmer [language]	Khmer-Sprache <f>, Kambodschanisch <n>, Khmer <n>	Cambodjaans <n>, Khmer <n>				khmer <m>, cambodgien <m>	khmer	камбоджи́йский <m>, кхме́рский <m>, кхме́рский язы́к <m>		קמרית	خِمِيرِيَّة <f>, لُغَة خِمِيرِيَّة <f>	高棉文, 高棉語 /高棉语	クメール語	Khmer	
Kampuciyen	Khmer [member of ethnolinguistic group], Cambodian [a person from Cambodia or of Cambodian descent]	Kambodschaner <m>, Kambodschanerin <f>, Khmer <m>/<f>	Cambodjaanse <f>, Cambodjaan <m>				Cambodgienne <f>, Cambodgien	cambogiano <m>, cambogiana <f>	камбоджи́ец <m>, кхме́рка <f>, камбоджи́йка <f>, кхмер <m>, кхмер <m>, кхме́рка <f>				柬埔寨人	カンボジア人		
kanabis	cannabis [plant], marijuana [drug|plant Cannabis sativa]	Cannabis <m>/<n>, Hanf <m>, Cannabis <m>, Hanf <m>, Haschisch <m>/<n>, Marihuana <n>	marihuana, cannabis <m>, hennep <m>	henep	κάνναβις <f>	cannabis <f>	marihuana <f>, marijuana <f>, cannabis <m>	canapa <f>, erba <f>, marijuana <f>	конопля́ <f>, план <m>, анаша́ <f>, марихуа́на <f>	מאַריכואַנע <f>, מעראַוואַנאַ <f>	קנאביס <m>, מָרִיחוּאָנָה <f>	قِنَّب هِنْدِيّ <m>, قِنَّب هِنْدِيّ <m>, قِنَّب <m>, مَارِيجْوَانَا <f>, حَشِيش <m>	大麻, 線麻 /线麻, 大麻	インド大麻, 大麻, マリワナ, マリファナ, ガンジャ	kenevir, esrar	киндер
Kanada	Canada [country in North America]	Kanada <n>	Canada <n>		Καναδᾶς <m>	Canada <f>	Canada <m>	Canada <m>	Кана́да <f>	קאַנאַדע <f>	קָנָדָּה <f>	كَنَدَة <f>, كَنَدَا <f>		カナダ, 加奈陀	Kanada	Канада
Kanadali	Canadian [of or pertaining to Canada]	kanadisch	Canadees			canadensis, canadense	canadien	canadese	кана́дский		קָנָדִי	كَنَدِيّ	加拿大的	カナダの	Kanadalı	
Kanadayen	Canadian [person from Canada]	Kanadierin <f>, Kanadier <m>	Canadese <f>, Canadees <m>			canadēnsis <m>/<f>	Canadien <m>, Canadienne <f>	canadese <m>/<f>	кана́дка <f>, кана́дец <m>		קָנָדִי <m>	كَنَدِيَّة <f>, كَنَدِيّ <m>	加拿大人	カナダ人	Kanadalı	
kanan	right [of direction, opposite of left|politics: conservative]	rechts, recht	rechts, rechter-	swīþra	δεξιός	dexter	droite, droit, de droite	destra, destro	пра́вый	רעכט	יָמִין, יְמָנִי	يَمِين, يمين		右, 右翼	sağ, sağcı, tutucu, muhafazakâr	уң
kananhantafil	right-handed [of one who uses their right hand in preference to, or more skillfully than their left.]	rechtshändig	rechtshandig				droitier	destrimano	правору́кий		ימני	أَيْمَن	右撇子, 右利手	右利き		
kananhantali																
kananhantaya	right-handedness [state of being right-handed]	Dextralität <f>, Rechtshändigkeit <f>					droiterie <f>, dextralité <f>	destrismo <m>								
Kanari	Canary Islands [an archipelago off the coast of north-western Africa]	Glückliche Inseln hinter dem Winde, Kanaren, Kanarische Inseln <f>	Canarische Eilanden			Fortūnātae Īnsulae <f>, Canāriae Īnsulae <f>, Canāriae <f>	Canaries <f>, îles Canaries <f>	Isole Canarie <f>	Кана́рские острова́ <m>, Кана́ры		האיים הקנריים <m>	جُزُر اَلْكَنَارِي <f>, الجُزُرُ الخَالِدَات <f>, جُزُر اَلْكَنَارِيَّة <f>	加那利群島 /加那利群岛	カナリア諸島		
kanaripiu	canary [bird from the Canary Islands]	Kanarienvogel <m>	kanarie <m>, kanarievogel <m>			canaria fringilla	canari <m>	canarino <m>, canario <m>	канаре́йка <f>	קאַנאַריק <m>	כנרית	كَنَارِي <m>	金絲雀 /金丝雀	カナリヤ, 金糸雀, カナリア	kanarya, sarı bülbül	
kanca	glass [substance]	Glas <n>, Glas <n>	glas <n>	glæs <n>	ὕαλος <f>	vitrum <n>	verre <m>	vetro <m>	стекло́ <n>	גלאָז <n>	זגוגית <f>, זְכוּכִית <f>	قزاز <m>, زجاج <m>, قزاز <m>, زُجَاج <m>		ガラス, 玻璃, 硝子	cam, sırça	пыяла
kancali																
kancer	cancer [disease of uncontrolled cellular proliferation]	Krebs <m>	kanker <m>		καρκίνος <m>	cancer <m>	cancer <m>	cancro <m>	злока́чественная о́пухоль <f>, рак <m>	ראַק, יענע מעשׂה <f>, עמעסע מעשׂה <f>	סַרְטָן <m>	سَرَطَان <m>		癌	kanser	
kancerdo																
kancerente																
kancerne																
kandela	candela [unit of luminous intensity]	Candela <n>	candela				candela <f>		канде́ла <f>				坎德拉	カンデラ		
kandidato																
kanguru																
kangyo	mine [to remove ore from the ground]	Bergbau <m>; abbauen, fördern	mijnbouw <m>; ontginnen			; effodere	extraction minière, exploitation minière <f>; extraire	estrazione <f>; estrarre, scavare	го́рное де́ло <n>, добы́ча <f>; добыва́ть, добы́ть		; כָּרָה	تعدين; لَغَمَ	採礦業 /采矿业, 採礦 /采矿, 礦業 /矿业	鉱業, 採鉱		
kangyodom	mine [excavation from which ore is extracted]	Bergwerk <n>, Schachtgrube <f>, Tagebau <m>, Grub <f>, Mine <f>, Zeche <f>, Grube <f>, Pütt <f>, Abbaustelle <f>, Schachtanlage <f>	groeve <f>, mijn <f>		μέταλλον <n>	metallum <n>, fodina <f>, minera	mine <f>	miniera <f>	рудни́к <m>, ша́хта <f>		מִכְרֶה <m>	مَنْجَم <m>, مَنْجَم <m>, لَغَم <m>, لُغْم <m>, لغم <m>		マイン, 鉱山	maden ocağı, maden	
kanho																
kanhodo																
kanhoyen																
kanmun																
kanmunli																
kanoe																
kanon																
kantaka																
kantalupu																
kanu	stem [botany: above-ground stalk of a vascular plant], stalk [stem or main axis of a plant], trunk [tree trunk]	Stängel <m>, Stiel <m>, Strunk <m>, Stamm <m>, Sprossachse <f>, Stamm <m>, Baumstamm <m>	stam <m>, steel <m>, stengel <m>, halm <m>, steel <m>, stam <m>, stengel <m>		καυλός <m>, στέλεχος <n>, κορμός <m>	stipula <f>, caulis <f>, truncus <m>, caudex <m>, caulis <f>, stirps	tige <f>, tronc <m>	tronco, fusto, gambo <m>, ceppo <m>, fusto <m>, venatura centrale <f>, gambo <m>, caule <m>, stelo <m>, tronco <m>	ствол <m>, ствол <m>, сте́бель <m>, стебло́ <n>, сте́бель <m>	שטאַם <m>	גֶּזַע <m>, גִּבְעוֹל <m>	سَاق <f>, سَاق نَبَات, جِذْع <m>	莖 /茎, 樹幹 /树干, 幹 /干, 樹幹 /树干, 莖 /茎	幹, 茎, 茎, 幹	gövde, ağaç gövdesi, gövde, sap	
kanyon	canyon [a valley cut in rock by a river]	Schlucht <f>, Felsschlucht <f>, Klamm <f>	kloof <f>		φάραγξ <f>	pyla <f>	gorge <f>, canyon <m>	gola <f>	каньо́н <m>		קַנְיוֹן <m>	أُخْدُود <m>, تَلْعَة <f>, خَانِق <m>	峽谷 /峡谷	峡谷	kanyon	
kaos																
kaospul																
kaossim																
kapa																
kapala																
kapi	head [part of the body]	Näggel <m>, Chopf <m>, Haupt <n>, Kopf <m>	hoofd <n>, kop <m>	hafela <m>, hēafod <n>	κεφαλή <f>, κάρα <f>	caput <n>	tête <f>	testa <f>, capo <m>	башка́ <f>, глава́ <f>, голова́ <f>	קאָפּ <m>	רֹאשׁ <m>	دماغ <f>, راس <m>, راس <m>, راس <m>, رَأْس <m>, راس <m>, راس <f>		頭部, 頭, 頭	baş, kafa	баш
kapibara																
kapiexfon																
kapikusen																
kapinoya																
kapisiya																
kapital																
kapitalismo																
kapitalista																
kapo																
kapuco																
Kara																
karakal																
karamel																
karanfu																
karaoke																
karar	decide [to resolve or settle]	; beschließen, entschließen, entscheiden	; beslissen, besluiten	; ġesċēadan	; διακρίνω	; decido, statuo	; décider	; stabilire, decidere	; реши́ть, реша́ть	; באַשליסן	; הכריע, החליט	; قَرَّرَ, صَمَّمَ	; 解決 /解决	; 解決する, 決める	; karar vermek	
kararfil		entschlussfreudig	beslist, besluitvaardig				ferme, décidé	decisivo, deciso	реши́тельный				果斷 /果断			
kararpul																
karate	karate [martial art]	Karate <n>					karaté <m>		карате́ <m>, каратэ́ <m>	קאַראַטע	קראטה <m>	كَارَاتِيه <m>	空手, 空手道	空手, 空手道	karate	
karavan																
karawi																
karay	spicy [providing a burning sensation due to chilies and other spices], hot [spicy]	scharf, scharf, würzig	scherp, pikant, pittig, pikant, heet			mordax, acer	épicé, piquant	piccante	о́стрый, о́стрый, пря́ный		חריף	حَرَّاق, حار, حار, حَار	辣	辛い	acı, acılı	
karayje	spiciness [degree to which something is spicy]	Schärfe <f>					pseudo-chaleur <f>	piccantezza <f>								
karayya																
karbon	carbon [chemical element]	Kohlenstoff <m>	koolstof <m>/<f>			carbonium	carbone <m>	carbonio <m>	углеро́д <m>	קוילנשטאָף <m>	פַּחְמָן <m>	كَرْبُون <m>	碳	炭素	karbon	
kardigan																
Kardigan																
kardinal																
kardu																
karducudu																
karducududo																
kardugibe																
kardugibedo																
kardulexi																
karduli basatayti																
kareto																
karetra	character [being in a story]	Person <f>, Figur <f>	personage <n>	hād <m>			personnage <m>	personaggio <m>	герои́ня <f>, персона́ж <m>, геро́й <m>, де́йствующее лицо́ <n>	פּערסאָנאַזש <m>	דְּמוּת <f>	شَخْصِيَّة <f>	人物, 角色	キャラクター, 登場人物	ıra, karakter, kişilik	
kargux	rabbit [mammal]	Kaninchen <n>, Karnickel <n>, Schlappohr <n>	konijn <n>	hara <m>	δασύπους <m>, κύνικλος <m>, λεβηρίς <f>	cunīculus <m>	lapin <m>	coniglio <m>	крольчи́ха <f>, кро́лик <m>	האָז <m>, קיניגל <n>, קראָליק <m>	אַרְנֶבֶת <f>, אַרְנָב <m>	أَرْنَب <m>	兔子, 白兔	ウサギ, 兎	tavşan, ada tavşanı, kuyan	куян, йорт куяны
kargux ci																
kari	buy [to obtain something with money], purchase [to obtain by paying money or its equivalent; to buy for a price — see also buy], shop [to visit shops]	; shoppen, einkaufen, kaufen, erwerben, anschaffen, erstehen, kaufen	; shoppen, inkopen doen, boodschappen doen, winkelen, aanschaffen, aankopen, kopen, aanschaffen, verwerven, aankopen	; ceapian, bycgan	; ἀγοράζω, ὠνέομαι	; emō, sūmō, emō	; acheter, magasiner, faire les magasins, faire des achats, faire les courses, faire du shopping	; comprare, acquistare, comperare (desueto), andare per negozi, acquistare	; покупа́ть, купи́ть, де́лать поку́пки, покупа́ть	; קויפֿן, אײַנקויפֿן	; עשה קניות, קָנָה	; اِشْتَرَى, تَسَوَّقَ, تَبَضَّعَ	; 購買 /购买, 買 /买	; 買う, 購入する, 買い物をする	; satın almak, almak, sakmak	
Karibe	Caribbean [continental region centered on the Caribbean Sea]	Karibik <f>	Caraïben				Caraïbes <f>	Caraibi <m>	Карибы					カリブ海地域	Karayipler	
karido																
kariible																
karisma																
karismapul																
kariyen																
karkumbu	chickadee [songbird], titmouse [certain parid bird]	Meise <f>	mees, mees <f>		αἰγίθαλλος <m>	parus	mésange <f>	cincia <f>	сини́ца <f>, га́ичка <f>, сини́ца <f>				山雀	四十雀, シジュウカラ		
Karlo	"Carl [transliterations and equivalents of ""Carl""]"								Карл <m>	קאַרל <m>	קרל <m>	كَارْل <m>	卡爾 /卡尔	カール, カル		
karma	karma [the total effect of a person’s actions and conduct during the successive phases of his existence]	Karma <n>	karma <n>				karma <m>		ка́рма <f>		קארמה <f>	كَارْمَا	業 /业, 因果報應 /因果报应, 羯磨	カルマ, 業	eden bulur, dakka dukka	
karmali																
Karmel	Carmel [female given name|male given name], Carmen [female given name]						Carmen <f>	Carmelo, Carmen <f>, Carmela <f>	Кармен		כרמל <f>		卡門 /卡门	カルメン		
Karnataka	Karnataka [state in southern India]	Karnataka <n>	Karnataka			Carnatica	Karnataka <m>	Karnataka	Карна́така <f>	קאַרנאַטאַקאַ	קארנאטקה	كَارْنَاتَاكَا <f>	卡納塔克邦 /卡纳塔克邦	カルナータカ, カルナータカ州	Karnataka	
Karnatakali																
Karnatakasa	Kannada [language]	Kannada <n>	Kannada				kannada <m>	lingua kannada	ка́ннада <m>			اَلْكَانَادَا <f>	卡納達語 /卡纳达语, 坎那達語 /坎那达语	カンナダ語	Kannada dili	
Karnatakayen																
karneval																
karnexon																
karoca																
karote	carrot [Daucus carota ssp. sativus]	Karotte <f>, Möhre <f>, Rüebli <n>, gelbe Rübe <f>, Rüebli <n>, Mohrrübe <f>	wortel <m>, peen <f>	mōre <f>	καρωτόν <n>	carōta <f>, daucum <n>	carotte <f>	carota <f>	мо́рква <f>, морко́вка <f>, морко́вь <f>, морква́ <f>	מער <f>, מייער <m>	גזר <m>	جَزَر <m>, خيزو <m>, جزر <m>, زرودية <m>, جزر <m>, جُزَر <m>, جعدة <m>		人参, ニンジン	havuç	кишер
karpe	carp [any of various freshwater fish of the family Cyprinidae]	Karpfen <m>	karper <m>		κυπρῖνος <m>	carpa <f>	carpe <f>	carpa <f>, reina <f>	саза́н <m>, карп <m>	קאַרפּ <m>	קרפיון <m>	شَبُّوط <m>	鯉魚 /鲤鱼	コイ, 鯉	sazan	
