eng	leader	Noun	tr	one having authority	yid	הויפּט	m
eng	leader	Noun	tr	one having authority	yid	פֿירער	m
eng	leader	Noun	tr	one having authority	yid	פֿירערין	f
eng	leader	Noun	tr	one having authority	zdj	mhuu	c1	c2
eng	leader	Noun	tr	one having authority	zdj	mtawalifu	c1	c2
eng	leader	Noun	tr	one having authority	zul	inhloko	c9	c10
eng	leader	Noun	tr	one having authority	zul	umholi	c1	c2
eng	leader	Noun	tr	pipe to conduct water from the roof	bul	водосточна тръба	f
eng	leader	Noun	tr	pipe to conduct water from the roof	deu	Regenrinne	f
eng	leader	Noun	tr	pipe to conduct water from the roof	fin	syöksytorvi
eng	leader	Noun	tr	pipe to conduct water from the roof	mkd	олук	m
eng	leader	Noun	tr	pipe to conduct water from the roof	pol	rynna	f
eng	leader	Noun	tr	pipe to conduct water from the roof	rus	водосто́чная труба́	f
eng	leader	Noun	tr	principal article in a newspaper	bul	уводна статия	f
eng	leader	Noun	tr	principal article in a newspaper	deu	Leitartikel	m
eng	leader	Noun	tr	principal article in a newspaper	ell	κύριο άρθρο	n
eng	leader	Noun	tr	principal article in a newspaper	fin	pääkirjoitus
eng	leader	Noun	tr	principal article in a newspaper	glv	ard-art	m
eng	leader	Noun	tr	principal article in a newspaper	mkd	воведен напис	m
eng	leader	Noun	tr	principal article in a newspaper	rus	передови́ца	f
eng	leader of the opposition	Noun	tr	person in charge of the party in opposition	dan	oppositionsleder	c
eng	leader of the opposition	Noun	tr	person in charge of the party in opposition	deu	Oppositionsführerin	f
eng	leader of the opposition	Noun	tr	person in charge of the party in opposition	deu	Oppositionsführer	m
eng	leader of the opposition	Noun	tr	person in charge of the party in opposition	kat	ოპოზიციის ლიდერი
eng	leader of the opposition	Noun	tr	person in charge of the party in opposition	nno	opposisjonsleiar	m
eng	leader of the opposition	Noun	tr	person in charge of the party in opposition	nob	opposisjonsleder	m
eng	leader of the opposition	Noun	tr	person in charge of the party in opposition	swe	oppositionsledare	c
eng	leadership	Noun	tr	capacity to lead	ara	قِيَادَة	f
eng	leadership	Noun	tr	capacity to lead	aze	liderlik
eng	leadership	Noun	tr	capacity to lead	aze	rəhbərlik
eng	leadership	Noun	tr	capacity to lead	bel	лі́дарства	n
eng	leadership	Noun	tr	capacity to lead	bul	ли́дерство	n
eng	leadership	Noun	tr	capacity to lead	cat	lideratge	m
eng	leadership	Noun	tr	capacity to lead	ces	vůdcovství	n
eng	leadership	Noun	tr	capacity to lead	ckb	سەرکردەیی
eng	leadership	Noun	tr	capacity to lead	cmn	領導能力
eng	leadership	Noun	tr	capacity to lead	cmn	领导能力	tr=lǐngdǎo nénglì
eng	leadership	Noun	tr	capacity to lead	cym	arweiniad	m
eng	leadership	Noun	tr	capacity to lead	dan	førerskab	n
eng	leadership	Noun	tr	capacity to lead	deu	Führung	f
eng	leadership	Noun	tr	capacity to lead	deu	Leitung	f
eng	leadership	Noun	tr	capacity to lead	fas	رهبری	tr=rahbari
eng	leadership	Noun	tr	capacity to lead	fin	johtajuus
eng	leadership	Noun	tr	capacity to lead	fra	autorité	f
eng	leadership	Noun	tr	capacity to lead	fra	charisme	f
eng	leadership	Noun	tr	capacity to lead	fra	leadership	m
eng	leadership	Noun	tr	capacity to lead	hbs	vòdstvo	n
eng	leadership	Noun	tr	capacity to lead	hbs	во̀дство	n
eng	leadership	Noun	tr	capacity to lead	hun	vezetői képesség
eng	leadership	Noun	tr	capacity to lead	jpn	リーダーシップ	tr=rīdāshippu
eng	leadership	Noun	tr	capacity to lead	jpn	指導力	tr=しどうりょく, shidōryoku
eng	leadership	Noun	tr	capacity to lead	kat	ლიდერობა
eng	leadership	Noun	tr	capacity to lead	kat	მეთაურობა
eng	leadership	Noun	tr	capacity to lead	kat	წინამძღვრობა
eng	leadership	Noun	tr	capacity to lead	kat	ხელმძღვანელობა
eng	leadership	Noun	tr	capacity to lead	kaz	қолбасшылық
eng	leadership	Noun	tr	capacity to lead	kaz	қолбасылық
eng	leadership	Noun	tr	capacity to lead	kaz	лидерлік
eng	leadership	Noun	tr	capacity to lead	kir	лидерлик
eng	leadership	Noun	tr	capacity to lead	kir	лидерчилик
eng	leadership	Noun	tr	capacity to lead	kor	리더십
eng	leadership	Noun	tr	capacity to lead	kor	지도력 (指導力)
eng	leadership	Noun	tr	capacity to lead	mkd	водство	n
eng	leadership	Noun	tr	capacity to lead	mon	манлайлал
eng	leadership	Noun	tr	capacity to lead	mri	hautūtanga
eng	leadership	Noun	tr	capacity to lead	msa	kepimpinan
eng	leadership	Noun	tr	capacity to lead	nld	leiderschap	n
eng	leadership	Noun	tr	capacity to lead	nld	voorzitterschap	n
eng	leadership	Noun	tr	capacity to lead	nob	ledelse	m
eng	leadership	Noun	tr	capacity to lead	pol	przywództwo	n
eng	leadership	Noun	tr	capacity to lead	por	liderança	f
eng	leadership	Noun	tr	capacity to lead	rus	ли́дерство	n
eng	leadership	Noun	tr	capacity to lead	slk	vodcovstvo	n
eng	leadership	Noun	tr	capacity to lead	slv	vodstvo	n
eng	leadership	Noun	tr	capacity to lead	spa	liderazgo
eng	leadership	Noun	tr	capacity to lead	swa	uongozi
eng	leadership	Noun	tr	capacity to lead	swe	ledarskap	n
eng	leadership	Noun	tr	capacity to lead	tel	నాయకత్వం
eng	leadership	Noun	tr	capacity to lead	tgk	роҳбарӣ
eng	leadership	Noun	tr	capacity to lead	tha	ความเป็นผู้นำ
