	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Egeria	Proper noun	tr	Asteroid	ell	Ηγερία	f
eng	Egeria	Proper noun	tr	The Roman nymph or goddess	ell	Ηγερία	f
eng	Eger	Proper noun	tr	city in Hungary	hun	Eger
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	rus	еги́петский гусь	m
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	rus	ни́льский гусь	m
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	slk	húska štíhla	f
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	slv	nilska gos	m
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	sme	niillačuonjá
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	sna	dada
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	sot	lefaloa
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	spa	ganso del Nilo
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	spa	ganso egipcio
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	swa	Bata Bukini wa Misri
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	swe	nilgås	c
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	tsn	legôu
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	tur	mısır kazı
eng	Egyptian goose	Noun	tr	''Alopochen aegyptiacus''	xho	ilowe
eng	Egyptianize	Verb	tr	to make Egyptian	epo	egiptigi
eng	Egyptian Mau	Noun	tr	Egyptian Mau	fin	egyptinmau
eng	Egyptian Mau	Noun	tr	Egyptian Mau	jpn	エジプシャンマウ	sc=Jpan	tr=Ejipushan Mau
eng	Egyptian Mau	Noun	tr	Egyptian Mau	por	mau egípcio	m
eng	Egyptian	Noun	tr	person from Egypt	afr	Egiptenaar
eng	Egyptian	Noun	tr	person from Egypt	afr	Egiptenare	p
eng	Egyptian	Noun	tr	person from Egypt	ang	Egyptisċ
eng	Egyptian	Noun	tr	person from Egypt	ara	مِصْرِيّ
eng	Egyptian	Noun	tr	person from Egypt	ara	مِصْرِيَّة	f
eng	Egyptian	Noun	tr	person from Egypt	ary	مصري	tr=miṣri
eng	Egyptian	Noun	tr	person from Egypt	arz	مصرى	m	tr=maṣri
eng	Egyptian	Noun	tr	person from Egypt	arz	مصرية	f	tr=maṣriyya
eng	Egyptian	Noun	tr	person from Egypt	bel	егіпця́нін	m
eng	Egyptian	Noun	tr	person from Egypt	bel	егіпця́нка	f
eng	Egyptian	Noun	tr	person from Egypt	bul	египтя́нин	m
eng	Egyptian	Noun	tr	person from Egypt	cat	egípcia	f
eng	Egyptian	Noun	tr	person from Egypt	cat	egipci	m
eng	Egyptian	Noun	tr	person from Egypt	ces	Egypťan	m
eng	Egyptian	Noun	tr	person from Egypt	cmn	埃及人	tr=Āijírén	sc=Hani
eng	Egyptian	Noun	tr	person from Egypt	cym	Eifftes	f
eng	Egyptian	Noun	tr	person from Egypt	cym	Eifftiad	m
eng	Egyptian	Noun	tr	person from Egypt	cym	Eifftiwr	m
eng	Egyptian	Noun	tr	person from Egypt	dan	egypter	m
eng	Egyptian	Noun	tr	person from Egypt	deu	Ägypterin	f
eng	Egyptian	Noun	tr	person from Egypt	deu	Ägypter	m
eng	Egyptian	Noun	tr	person from Egypt	dsb	Egyptaŕka	f
eng	Egyptian	Noun	tr	person from Egypt	dsb	Egyptaŕ	m
eng	Egyptian	Noun	tr	person from Egypt	ell	Αιγύπτια	f
eng	Egyptian	Noun	tr	person from Egypt	ell	Αιγύπτιος	m
eng	Egyptian	Noun	tr	person from Egypt	epo	egipto
eng	Egyptian	Noun	tr	person from Egypt	est	egiptlane
eng	Egyptian	Noun	tr	person from Egypt	fin	egyptiläinen
