	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	cat	eslava	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ces	Slovan	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	cmn	斯拉夫人	tr=sīlāfūrén	sc=Hani
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	cym	Slaf	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	dan	slaver	c
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	deu	Slawe	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	deu	Slawin	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ell	Σλάβα	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ell	Σλάβος	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	epo	slavino
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	epo	slavo
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	est	slaavlane
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	fas	اسلاو	tr=eslâv
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	fin	slaavi
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	fra	Slave	m	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	fur	sclâf
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	fur	sclâv
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	gla	Slàbhach	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	gle	Slavacha
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hbs	Slavenka	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hbs	Slaven	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hbs	Slovenka	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hbs	Sloven	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hbs	Славен	m	sc=Cyrl
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hbs	Славенка	f	sc=Cyrl
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hbs	Словен	m	sc=Cyrl
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hbs	Словенка	f	sc=Cyrl
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	heb	סלאבי	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hin	स्लाव	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hun	szláv
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	hye	սլավոն
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	jpn	スラヴ人	tr=suravujin
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	jpn	スラブ人	tr=surabujin
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	kat	სლავი
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	kaz	славян
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	kir	славян
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	kir	славянин
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	kor	슬라브 사람
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	lat	Slavus	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	lav	slāviete	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	lav	slāvs	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	lit	slavas	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	lit	slavė	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	mkd	Словен	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	mkd	Словенка	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	mon	слав	sc=Cyrl
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	mon	славян	sc=Cyrl
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	nld	Slaaf	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	nld	Slavische	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	nor	slav
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	orv	словѣнинъ	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	orv	словѣнка	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	pol	Słowianin	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	pol	Słowianka	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	por	eslavo	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	pox	slüvensťĕ
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ron	slavă	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ron	slav	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	rus	славяни́н	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	rus	славя́нка	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	sah	ньөһа	sc=Cyrl
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	slk	Slovanka	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	slk	Slovan	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	slv	Slovánka	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	slv	Slován	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	spa	eslava	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	spa	eslavo	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	sqi	sllave	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	sqi	sllav	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	swe	slav
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	tgk	славян
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	tgl	Eslabo
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	tha	ชาวสลาฟ	tr=chaao sà-làaf
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	tuk	slawýan
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	tur	Slav
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ukr	слов'яни́н	m
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	ukr	слов'я́нка	f
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	urd	سلاو	m	tr=slāv	sc=ur-Arab
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	uzb	slavyan
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	vec	slavo
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	vie	người Slav
eng	Slav	Noun	tr	a member of a group of peoples in Eastern Europe speaking a Slavic language	yue	斯拉夫人	tr=si1 laai1 fu1 jan4
